trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9}",20,0,-81.92293839377588,"{0: 11, 1: 5, 2: 1, 3: 3, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.81}",20,16,7.5272446367957375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.7290000000000001}",30,0,-31.235341632612524,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.6561000000000001}",25,0,-151.8358574141683,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.5904900000000002}",30,0,-163.05901202068705,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.5314410000000002}",25,0,-13.0098181028646,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.47829690000000014}",30,0,-56.93944035226526,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.43046721000000016}",25,0,1.4091577558749488,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.38742048900000015}",20,0,-49.06590477528244,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.34867844010000015}",20,0,15.584073194738432,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.31381059609000017}",30,0,-23.369775315159295,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.28242953648100017}",20,0,5.752516095175436,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.25418658283290013}",30,0,-12.061823793025322,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.22876792454961012}",25,0,-28.872745318455795,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.2058911320946491}",20,8,-11.997157390332061,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.1853020188851842}",20,2,10.368310811274473,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.16677181699666577}",20,0,20.082991369586246,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.1500946352969992}",35,9,3.7989844970189033,"{0: 23, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.13508517176729928}",20,0,8.180802263899931,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.12157665459056936}",30,0,25.14959409726287,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.10941898913151243}",25,0,14.516047175948186,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.0984770902183612}",20,2,17.257504283596695,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.08862938119652508}",20,0,-22.959536244524976,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.07976644307687257}",20,0,16.425087211741445,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.07178979876918531}",30,15,20.898003298967062,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.06461081889226679}",20,11,-5.2840183279733575,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.05814973700304011}",20,0,30.031205746070853,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.9, 'e': 0.0523347633027361}",25,0,-23.94663557572361,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.04710128697246249}",25,0,23.495042706930455,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.042391158275216244}",25,1,37.35677421257174,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.03815204244769462}",20,11,17.949448184611427,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.03433683820292516}",25,0,33.78232606358628,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.030903154382632643}",30,0,30.015468212423098,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.02781283894436938}",20,5,26.012609018890384,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.025031555049932444}",25,2,14.885998946937162,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.0225283995449392}",30,8,29.06046080517245,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.020275559590445278}",25,17,5.357328014699519,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.01824800363140075}",30,16,17.866104558936186,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.016423203268260675}",20,0,14.516102436713151,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.014780882941434608}",25,3,29.504017852106998,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.013302794647291147}",25,0,19.254893308979707,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.011972515182562033}",25,13,14.912684928880022,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.01077526366430583}",20,3,31.71134473987801,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.009697737297875247}",20,9,17.893167800777714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.008727963568087723}",20,0,12.482329779424479,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.00785516721127895}",20,0,25.288474815287973,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.007069650490151055}",30,12,34.17854766288057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.00636268544113595}",25,20,11.9074797194796,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.005726416897022355}",20,10,14.797481782380384,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.00515377520732012}",20,0,24.141070096000288,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.004638397686588107}",20,13,14.97039906178868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
