trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.66544283038908,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.88474089517153,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.8272484725242,"{0: 19, 1: 6, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.79514458458484,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.19918797226019,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.46037778298268,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.62705459417268,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.09688917221166,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.84567634284738,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.22506905308457,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.66391776471235,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.05406672934683,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.9593971211625,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.87304486202405,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.50482489280407,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-211.21935597471418,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.06594212352933,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.999555929164,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.80984026776775,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.61966146428824,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.42353455632556,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.73650003263083,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,11,-8.661557537225843,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.73655514246339,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-274.17617805466665,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.805356683346204,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.7347698934847,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-94.0861447788369,"{0: 23, 1: 3, 2: 7, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.56495802154124,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-63.173367035893094,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
